speaker,phase,target_type,key_emotion,count,total,share
Barack Obama,campaign,issue,anger,2,303,0.006600660066006601
Barack Obama,campaign,issue,gratitude,4,303,0.013201320132013201
Barack Obama,campaign,issue,optimism,3,303,0.009900990099009901
Barack Obama,campaign,issue,other,290,303,0.9570957095709571
Barack Obama,campaign,issue,pride,3,303,0.009900990099009901
Barack Obama,campaign,issue,sadness,1,303,0.0033003300330033004
Barack Obama,campaign,opponent,optimism,1,70,0.014285714285714285
Barack Obama,campaign,opponent,other,68,70,0.9714285714285714
Barack Obama,campaign,opponent,pride,1,70,0.014285714285714285
Barack Obama,campaign,other,anger,6,738,0.008130081300813009
Barack Obama,campaign,other,gratitude,20,738,0.02710027100271003
Barack Obama,campaign,other,joy,1,738,0.0013550135501355014
Barack Obama,campaign,other,optimism,4,738,0.005420054200542005
Barack Obama,campaign,other,other,698,738,0.94579945799458
Barack Obama,campaign,other,pride,8,738,0.01084010840108401
Barack Obama,campaign,other,sadness,1,738,0.0013550135501355014
Barack Obama,campaign,self,anger,5,389,0.012853470437017995
Barack Obama,campaign,self,gratitude,19,389,0.04884318766066838
Barack Obama,campaign,self,optimism,2,389,0.005141388174807198
Barack Obama,campaign,self,other,357,389,0.9177377892030848
Barack Obama,campaign,self,pride,5,389,0.012853470437017995
Barack Obama,campaign,self,sadness,1,389,0.002570694087403599
Barack Obama,presidency,issue,anger,1,476,0.0021008403361344537
Barack Obama,presidency,issue,fear,2,476,0.004201680672268907
Barack Obama,presidency,issue,gratitude,7,476,0.014705882352941176
Barack Obama,presidency,issue,optimism,7,476,0.014705882352941176
Barack Obama,presidency,issue,other,455,476,0.9558823529411765
Barack Obama,presidency,issue,pride,4,476,0.008403361344537815
Barack Obama,presidency,opponent,fear,2,28,0.07142857142857142
Barack Obama,presidency,opponent,gratitude,1,28,0.03571428571428571
Barack Obama,presidency,opponent,other,24,28,0.8571428571428571
Barack Obama,presidency,opponent,pride,1,28,0.03571428571428571
Barack Obama,presidency,other,anger,3,615,0.004878048780487805
Barack Obama,presidency,other,gratitude,11,615,0.01788617886178862
Barack Obama,presidency,other,joy,3,615,0.004878048780487805
Barack Obama,presidency,other,optimism,11,615,0.01788617886178862
Barack Obama,presidency,other,other,581,615,0.9447154471544715
Barack Obama,presidency,other,pride,5,615,0.008130081300813009
Barack Obama,presidency,other,sadness,1,615,0.0016260162601626016
Barack Obama,presidency,self,anger,2,381,0.005249343832020997
Barack Obama,presidency,self,fear,1,381,0.0026246719160104987
Barack Obama,presidency,self,gratitude,8,381,0.02099737532808399
Barack Obama,presidency,self,joy,1,381,0.0026246719160104987
Barack Obama,presidency,self,optimism,8,381,0.02099737532808399
Barack Obama,presidency,self,other,349,381,0.916010498687664
Barack Obama,presidency,self,pride,5,381,0.013123359580052493
Barack Obama,presidency,self,sadness,7,381,0.01837270341207349
Donald Trump,campaign,issue,anger,7,118,0.059322033898305086
Donald Trump,campaign,issue,gratitude,9,118,0.07627118644067797
Donald Trump,campaign,issue,optimism,1,118,0.00847457627118644
Donald Trump,campaign,issue,other,98,118,0.8305084745762712
Donald Trump,campaign,issue,sadness,3,118,0.025423728813559324
Donald Trump,campaign,opponent,anger,41,389,0.10539845758354756
Donald Trump,campaign,opponent,fear,2,389,0.005141388174807198
Donald Trump,campaign,opponent,gratitude,25,389,0.06426735218508997
Donald Trump,campaign,opponent,optimism,4,389,0.010282776349614395
Donald Trump,campaign,opponent,other,311,389,0.7994858611825193
Donald Trump,campaign,opponent,pride,1,389,0.002570694087403599
Donald Trump,campaign,opponent,sadness,5,389,0.012853470437017995
Donald Trump,campaign,other,anger,17,427,0.03981264637002342
Donald Trump,campaign,other,fear,3,427,0.00702576112412178
Donald Trump,campaign,other,gratitude,73,427,0.17096018735362997
Donald Trump,campaign,other,optimism,2,427,0.00468384074941452
Donald Trump,campaign,other,other,321,427,0.7517564402810304
Donald Trump,campaign,other,pride,1,427,0.00234192037470726
Donald Trump,campaign,other,sadness,10,427,0.0234192037470726
Donald Trump,campaign,self,anger,18,566,0.03180212014134275
Donald Trump,campaign,self,fear,4,566,0.007067137809187279
Donald Trump,campaign,self,gratitude,57,566,0.10070671378091872
Donald Trump,campaign,self,joy,1,566,0.0017667844522968198
Donald Trump,campaign,self,optimism,7,566,0.012367491166077738
Donald Trump,campaign,self,other,463,566,0.8180212014134276
Donald Trump,campaign,self,pride,4,566,0.007067137809187279
Donald Trump,campaign,self,sadness,12,566,0.02120141342756184
Donald Trump,presidency,issue,anger,13,223,0.05829596412556054
Donald Trump,presidency,issue,fear,1,223,0.004484304932735426
Donald Trump,presidency,issue,gratitude,19,223,0.08520179372197309
Donald Trump,presidency,issue,joy,1,223,0.004484304932735426
Donald Trump,presidency,issue,optimism,5,223,0.02242152466367713
