speaker,phase,topic,key_emotion,count,total,share
Barack Obama,campaign,economy,anger,2,269,0.007434944237918215
Barack Obama,campaign,economy,gratitude,2,269,0.007434944237918215
Barack Obama,campaign,economy,optimism,2,269,0.007434944237918215
Barack Obama,campaign,economy,other,261,269,0.9702602230483272
Barack Obama,campaign,economy,pride,2,269,0.007434944237918215
Barack Obama,campaign,environment,other,4,4,1.0
Barack Obama,campaign,foreign_policy,gratitude,4,63,0.06349206349206349
Barack Obama,campaign,foreign_policy,optimism,2,63,0.031746031746031744
Barack Obama,campaign,foreign_policy,other,56,63,0.8888888888888888
Barack Obama,campaign,foreign_policy,sadness,1,63,0.015873015873015872
Barack Obama,campaign,healthcare,gratitude,4,54,0.07407407407407407
Barack Obama,campaign,healthcare,other,50,54,0.9259259259259259
Barack Obama,campaign,immigration,other,15,15,1.0
Barack Obama,campaign,other,anger,10,1057,0.00946073793755913
Barack Obama,campaign,other,gratitude,32,1057,0.030274361400189215
Barack Obama,campaign,other,joy,1,1057,0.000946073793755913
Barack Obama,campaign,other,optimism,6,1057,0.005676442762535478
Barack Obama,campaign,other,other,994,1057,0.9403973509933775
Barack Obama,campaign,other,pride,13,1057,0.01229895931882687
Barack Obama,campaign,other,sadness,1,1057,0.000946073793755913
Barack Obama,campaign,rights_justice,gratitude,1,27,0.037037037037037035
Barack Obama,campaign,rights_justice,other,23,27,0.8518518518518519
Barack Obama,campaign,rights_justice,pride,2,27,0.07407407407407407
Barack Obama,campaign,rights_justice,sadness,1,27,0.037037037037037035
Barack Obama,campaign,security,anger,1,11,0.09090909090909091
Barack Obama,campaign,security,other,10,11,0.9090909090909091
Barack Obama,presidency,economy,fear,1,217,0.004608294930875576
Barack Obama,presidency,economy,gratitude,1,217,0.004608294930875576
Barack Obama,presidency,economy,optimism,4,217,0.018433179723502304
Barack Obama,presidency,economy,other,211,217,0.9723502304147466
Barack Obama,presidency,environment,anger,1,99,0.010101010101010102
Barack Obama,presidency,environment,other,98,99,0.98989898989899
Barack Obama,presidency,foreign_policy,fear,1,57,0.017543859649122806
Barack Obama,presidency,foreign_policy,gratitude,2,57,0.03508771929824561
Barack Obama,presidency,foreign_policy,optimism,2,57,0.03508771929824561
Barack Obama,presidency,foreign_policy,other,51,57,0.8947368421052632
Barack Obama,presidency,foreign_policy,pride,1,57,0.017543859649122806
Barack Obama,presidency,healthcare,anger,1,143,0.006993006993006993
Barack Obama,presidency,healthcare,gratitude,5,143,0.03496503496503497
Barack Obama,presidency,healthcare,optimism,1,143,0.006993006993006993
Barack Obama,presidency,healthcare,other,134,143,0.9370629370629371
Barack Obama,presidency,healthcare,pride,1,143,0.006993006993006993
Barack Obama,presidency,healthcare,sadness,1,143,0.006993006993006993
